case_id,offender_race,victim_race,sentence
355,white,white,jail
356,white,white,jail
357,black,white,jail
358,black,black,jail
359,black,black,jail
360,white,white,jail
361,white,white,jail
362,black,white,jail
363,white,white,jail
364,white,white,jail
365,white,white,jail
366,black,white,jail
367,white,white,jail
368,white,black,jail
369,black,black,jail
370,black,black,jail
371,white,white,jail
372,black,black,jail
373,black,black,jail
374,black,white,jail
375,white,white,jail
376,white,white,jail
377,white,white,jail
378,white,white,jail
379,white,white,jail
380,white,white,jail
381,black,black,jail
382,white,black,jail
383,black,black,jail
384,white,white,jail
385,white,white,jail
386,white,white,jail
387,black,black,jail
388,black,black,jail
389,black,black,jail
390,black,black,jail
391,white,white,jail
392,black,black,jail
393,white,white,jail
394,black,black,jail
395,black,black,jail
396,white,white,jail
397,black,black,jail
398,black,white,jail
399,white,white,death
400,white,white,jail
401,white,white,jail
402,black,black,jail
403,black,black,jail
404,white,white,jail
405,black,black,jail
406,white,white,jail
407,white,white,jail
408,black,black,jail
409,black,white,jail
410,black,black,jail
411,black,black,jail
412,black,black,jail
413,white,white,jail
414,black,black,jail
415,black,white,jail
416,black,black,jail
417,black,black,jail
418,black,black,jail
419,black,black,jail
420,white,white,jail
421,white,white,jail
422,black,black,jail
423,black,black,jail
424,white,black,jail
425,black,black,jail
426,black,black,jail
427,white,white,jail
428,white,white,jail
429,white,white,jail
430,black,black,jail
431,white,white,jail
432,black,black,jail
433,white,white,jail
434,black,black,jail
435,white,white,jail
436,black,black,jail
437,white,white,jail
438,white,white,jail
439,black,black,jail
440,white,white,jail
441,white,white,jail
442,black,black,jail
443,white,white,jail
444,black,black,jail
445,black,black,jail
446,black,black,jail
447,black,black,jail
448,white,white,jail
449,black,white,jail
450,black,white,jail
451,black,black,jail
452,white,white,jail
453,black,black,jail
454,white,white,jail
455,black,black,jail
456,black,black,jail
457,black,white,jail
458,black,black,jail
459,white,white,jail
460,black,black,jail
461,white,white,jail
462,black,black,jail
463,black,black,jail
464,white,white,jail
465,white,white,jail
466,black,black,jail
467,black,black,jail
468,black,black,jail
469,black,black,jail
470,white,white,jail
471,black,black,jail
472,white,white,jail
473,white,white,jail
474,white,white,jail
475,white,white,jail
476,white,white,jail
477,white,white,jail
478,black,black,jail
479,black,black,jail
480,black,black,jail
481,white,black,jail
482,black,black,jail
483,black,black,jail
484,black,black,jail
485,black,black,jail
486,white,white,jail
487,black,black,jail
488,white,white,jail
489,black,black,jail
490,black,black,jail
491,black,black,jail
492,white,white,jail
493,white,white,jail
494,black,black,jail
495,black,black,jail
496,white,white,jail
497,white,white,jail
498,black,black,jail
499,white,white,jail
500,black,black,jail
501,black,black,jail
502,white,white,jail
503,white,white,jail
504,white,white,jail
505,black,black,jail
506,black,black,jail
507,black,black,jail
508,white,white,jail
509,black,black,jail
510,white,white,jail
511,white,white,jail
512,white,white,jail
513,black,black,jail
514,white,white,jail
515,white,white,jail
516,white,white,jail
517,black,black,jail
518,black,black,jail
519,black,black,jail
520,black,black,jail
521,white,white,jail
522,black,black,jail
523,white,black,jail
524,white,white,jail
525,black,black,jail
526,black,black,jail
527,white,white,jail
528,black,black,jail
529,black,white,jail
530,white,white,jail
531,black,black,jail
532,black,black,jail
533,white,white,jail
534,white,white,jail
535,black,black,jail
536,black,black,jail
537,black,black,jail
538,white,white,jail
539,black,black,jail
540,white,white,jail
541,white,white,jail
542,black,black,jail
543,white,white,jail
544,white,white,jail
545,white,white,jail
546,black,black,jail
547,black,black,jail
548,white,white,jail
549,black,black,jail
550,white,white,jail
551,black,black,death
552,white,white,jail
553,white,white,jail
554,black,white,jail
555,black,white,jail
556,white,white,jail
557,black,black,jail
558,black,white,jail
559,black,black,jail
560,white,white,jail
561,white,white,jail
562,black,black,jail
563,white,white,jail
564,black,black,jail
565,black,white,jail
566,white,white,jail
567,white,white,death
568,white,white,jail
569,white,white,jail
570,black,black,jail
571,white,white,jail
572,white,white,jail
573,white,white,jail
574,black,white,jail
575,black,black,jail
576,white,white,jail
577,black,black,jail
578,black,white,jail
579,black,black,jail
580,white,white,jail
581,white,white,jail
582,black,black,jail
583,black,black,jail
584,white,white,jail
585,black,white,jail
586,white,white,jail
587,black,black,jail
588,white,white,jail
589,white,white,jail
590,white,white,jail
591,black,black,jail
592,black,white,jail
593,white,white,jail
594,black,black,jail
595,white,white,jail
596,white,white,jail
597,white,white,jail
598,black,black,jail
599,black,black,jail
600,black,black,jail
601,black,black,jail
602,white,white,jail
603,white,white,death
604,black,black,jail
605,black,white,jail
606,white,white,jail
607,white,white,jail
608,black,black,jail
609,black,black,jail
610,black,black,jail
611,black,black,jail
612,black,black,jail
613,black,black,jail
614,white,white,jail
615,white,white,jail
616,white,white,jail
617,white,white,jail
618,white,white,jail
619,white,white,jail
620,black,black,jail
621,white,white,jail
622,white,white,jail
623,black,black,jail
624,white,white,jail
625,black,black,jail
626,white,white,jail
627,white,white,jail
628,black,black,jail
629,black,black,jail
630,black,black,jail
631,white,white,jail
632,black,white,jail
633,black,black,jail
634,white,white,jail
635,black,black,jail
636,black,black,jail
637,white,white,jail
638,white,white,jail
639,black,white,jail
640,white,white,jail
641,white,white,jail
642,black,black,jail
643,white,white,jail
644,white,white,jail
645,black,black,jail
646,white,white,jail
647,white,white,jail
648,white,black,jail
649,white,white,death
650,white,white,jail
651,black,black,jail
652,black,white,jail
653,black,white,jail
654,black,black,jail
655,white,black,jail
656,white,white,jail
657,white,white,jail
658,black,white,jail
659,white,white,jail
660,white,white,jail
661,white,black,jail
662,black,black,jail
663,white,white,jail
664,white,white,jail
665,white,white,jail
666,black,black,jail
667,white,white,jail
668,black,black,jail
669,black,black,jail
670,black,black,jail
671,white,white,jail
672,black,white,jail
673,black,black,jail
674,white,white,jail
675,white,white,jail
676,black,black,jail
677,black,white,jail
678,black,white,jail
679,black,black,jail
680,black,white,jail
681,black,black,death
682,black,black,jail
683,black,black,jail
