respondent_id,approve_president
3560,Disapprove
3561,Approve
3888,Approve
3055,Approve
75,Disapprove
161,Disapprove
4160,Disapprove
1831,Approve
898,Approve
3244,Disapprove
1646,Disapprove
3263,Approve
3828,Disapprove
408,Approve
1200,Disapprove
1015,Approve
1065,Disapprove
416,Approve
1888,Approve
360,Approve
996,Disapprove
3508,Disapprove
2742,Disapprove
428,Disapprove
2546,Disapprove
28,Approve
2570,Approve
141,Approve
2867,Approve
1159,Disapprove
904,Disapprove
2790,Approve
2682,Approve
897,Disapprove
463,Approve
3471,Approve
1279,Disapprove
2660,Disapprove
3726,Disapprove
443,Approve
3199,Disapprove
1756,Disapprove
730,Disapprove
3713,Disapprove
1669,Disapprove
56,Disapprove
524,Disapprove
179,Disapprove
1851,Approve
1965,Approve
2966,Approve
3699,Disapprove
1132,Disapprove
2339,Approve
842,Disapprove
4041,Approve
31,Disapprove
2746,Disapprove
1374,Approve
1153,Disapprove
4146,Approve
1875,Approve
3125,Disapprove
2208,Disapprove
2582,Disapprove
1794,Approve
1122,Approve
3000,Approve
2267,Approve
3310,Approve
417,Approve
2137,Approve
2551,Disapprove
1846,Approve
969,Approve
1510,Disapprove
235,Disapprove
337,Disapprove
2646,Approve
2380,Approve
3720,Disapprove
64,Approve
2917,Approve
700,Disapprove
2808,Disapprove
194,Approve
1377,Disapprove
2972,Approve
2763,Approve
664,Approve
2315,Disapprove
1678,Disapprove
2367,Approve
2113,Approve
1342,Approve
704,Disapprove
771,Disapprove
16,Disapprove
388,Disapprove
2355,Approve
2436,Disapprove
1479,Approve
770,Disapprove
3678,NA
2543,Disapprove
370,Approve
3677,Approve
3374,Approve
3124,Disapprove
879,Disapprove
4107,Approve
1588,Disapprove
3796,Approve
112,Approve
2120,Disapprove
3682,Approve
1557,Approve
2119,Disapprove
270,Disapprove
1174,Approve
1878,Disapprove
4073,Disapprove
2406,Disapprove
1404,Disapprove
3537,Disapprove
2958,Approve
3036,Approve
3378,Disapprove
393,Disapprove
138,Disapprove
3239,Disapprove
3362,Approve
1086,Disapprove
618,Disapprove
1746,Approve
1396,Disapprove
1539,Approve
3938,Disapprove
1064,Disapprove
2651,Approve
962,Disapprove
15,Approve
1224,Disapprove
2523,Approve
461,Approve
868,Disapprove
3341,Disapprove
3208,Approve
748,Disapprove
2417,Disapprove
3891,Disapprove
2093,Disapprove
3607,Approve
2505,Approve
453,Disapprove
3956,Approve
573,Disapprove
282,Disapprove
2698,Disapprove
3235,Disapprove
265,Disapprove
599,Approve
2617,Approve
2798,Approve
3150,Approve
3441,Disapprove
3226,Disapprove
3876,Disapprove
679,Approve
1662,Disapprove
1908,Approve
3445,Disapprove
2359,Disapprove
3359,Disapprove
1505,Disapprove
1827,Disapprove
2241,Approve
2252,Approve
3946,Approve
204,Disapprove
3419,Approve
3737,Disapprove
1366,Disapprove
3182,Approve
1348,Approve
3623,Disapprove
2060,Approve
565,Disapprove
976,Disapprove
1929,Approve
4090,Disapprove
1922,Approve
765,Disapprove
822,Disapprove
3070,Approve
2276,Disapprove
2387,Approve
3043,Approve
2550,Disapprove
617,Approve
1777,Approve
2744,Disapprove
251,Disapprove
3369,Approve
3062,Disapprove
2554,Disapprove
3320,Approve
3612,Approve
3810,Disapprove
999,Approve
3601,Disapprove
2430,Approve
2956,Disapprove
1938,Approve
445,Disapprove
3014,Disapprove
2229,Approve
1286,Approve
1168,Approve
523,Disapprove
4159,Approve
2579,Approve
1870,Disapprove
3126,Approve
3277,Approve
1252,Disapprove
2976,Disapprove
1511,Approve
3569,Disapprove
484,Disapprove
3407,Disapprove
2182,Approve
2039,Disapprove
1721,Approve
478,Disapprove
1280,Approve
1494,Approve
4015,Approve
2753,Disapprove
3643,Disapprove
498,Disapprove
328,Approve
1155,Approve
486,Disapprove
841,Disapprove
1636,Disapprove
3961,Disapprove
826,Disapprove
3694,Approve
2839,Disapprove
3724,Disapprove
3455,Approve
3610,Disapprove
308,Disapprove
1659,Approve
3950,Disapprove
1373,Approve
1619,Disapprove
2032,Approve
796,Disapprove
3984,Disapprove
1081,Approve
3204,Approve
3532,Disapprove
3606,Approve
1852,Disapprove
1999,Disapprove
3631,Disapprove
3965,Disapprove
1516,Approve
3605,Disapprove
2927,Approve
3731,Approve
3084,Approve
760,Disapprove
642,Disapprove
1972,Approve
2156,Disapprove
675,Approve
3575,Approve
3161,Disapprove
518,Disapprove
131,Disapprove
447,Disapprove
1805,Disapprove
2894,Disapprove
2001,Approve
1281,Disapprove
2041,Disapprove
44,Disapprove
2587,Disapprove
406,Disapprove
528,Approve
574,Disapprove
2465,Disapprove
1919,Disapprove
1993,Disapprove
3953,Disapprove
877,Disapprove
576,Disapprove
3653,Disapprove
2652,Approve
3273,Disapprove
3437,Disapprove
1425,Approve
329,Disapprove
2782,Disapprove
196,Disapprove
2206,Disapprove
1167,Approve
1893,Disapprove
237,Disapprove
979,Approve
3684,Disapprove
1859,Disapprove
1397,Disapprove
3628,Disapprove
3018,Approve
3151,Disapprove
2827,Approve
1902,Disapprove
2237,Disapprove
4067,Disapprove
2935,Approve
3570,Disapprove
4122,Disapprove
2779,Approve
809,Disapprove
1498,Disapprove
369,Disapprove
415,Disapprove
2168,Disapprove
1016,Approve
2498,Approve
1287,Approve
1602,Disapprove
2527,Disapprove
3066,Disapprove
3522,Disapprove
1881,Disapprove
182,Approve
1487,Disapprove
2700,Approve
39,Approve
1483,Disapprove
3232,Disapprove
3480,Disapprove
4033,Disapprove
3461,Disapprove
3889,Approve
1021,Disapprove
390,Disapprove
1056,Disapprove
1031,Disapprove
2862,Approve
3181,Disapprove
1162,Disapprove
3069,Disapprove
2409,NA
1897,Approve
434,Approve
67,Approve
1776,Disapprove
148,Disapprove
1170,Approve
398,Approve
3589,Disapprove
172,Approve
84,Approve
1109,Disapprove
1783,Disapprove
2786,Disapprove
3580,Disapprove
3641,Disapprove
2645,Disapprove
1092,Disapprove
496,Disapprove
186,Disapprove
381,Disapprove
2503,Approve
1431,Approve
3626,Approve
3413,Disapprove
2849,Approve
539,Approve
2478,Approve
1620,Approve
958,Disapprove
122,Approve
351,Disapprove
825,Approve
2188,Disapprove
2249,Disapprove
1145,Approve
537,Approve
3528,Disapprove
1112,Approve
2345,Approve
32,Disapprove
3633,Disapprove
3578,Approve
746,Disapprove
797,Disapprove
1601,Disapprove
3818,Disapprove
3409,Disapprove
1417,Approve
3632,Disapprove
2194,Approve
3858,Disapprove
1955,Disapprove
3162,Approve
2666,Disapprove
2024,Approve
3629,Disapprove
3838,Disapprove
3579,Disapprove
2292,Approve
1143,Approve
2353,Approve
1376,Disapprove
4065,Approve
203,Approve
4163,Disapprove
1502,Disapprove
4112,Disapprove
1586,Approve
541,Approve
2788,Approve
3340,Disapprove
1176,Disapprove
582,Approve
1140,Disapprove
1088,Disapprove
3638,Approve
1142,Disapprove
2118,Approve
1208,Disapprove
1163,Approve
2787,Disapprove
1325,Approve
1045,Approve
1066,Disapprove
158,Disapprove
3387,Disapprove
3862,Approve
2534,Approve
1503,Disapprove
1818,Approve
4162,Approve
2029,Disapprove
2964,Disapprove
2306,Disapprove
25,NA
3103,Disapprove
3663,Disapprove
2138,Disapprove
1457,Disapprove
3571,Disapprove
2725,Approve
3691,Approve
1180,Approve
1666,Disapprove
3406,Disapprove
2222,Approve
934,Disapprove
2167,Approve
602,Approve
3246,Disapprove
997,Disapprove
4005,Approve
